,,0
Total.DHPAA,CA.G,0.1899204599911811
TFA.S,Total.CA,0.19010180424241346
VA.SS,CA.GS,0.19117237437479392
VA,CA,0.19168183454562346
Total.TFA,Total.CA,0.1920335982488602
Fat,CA.GS,0.19234320479293848
TFA.S,CA.G,0.1927511041145248
Total.TFA,CA.G,0.19332365367107016
Total.DHPAA,CA,0.19358035599571494
Total.DHPAA,numVol,0.19407734462121534
DHPAA,CA.G,0.20080148691560257
VA,DHPAA,0.20103828290107129
Total.VA,CA,0.2011768815894708
TFA.di.sulfate.1,CA.S,0.2038864314141569
TFA.G,CA.S,0.2049749022877761
VA.GG,DHPAA.GG,0.20500394908818526
VA.GG,CA.GS,0.2082933918506761
CA.GS,CA,0.20914774335094283
VA.GG,Total.DHPAA,0.21019257466422767
DHPAA.G,CA.G,0.21083950603275245
Total.VA,VA.GG,0.2109175439373324
Total.VA,DHPAA,0.21210543164105503
DHPAA.G,CA.GS,0.21854615993454538
TFA.di.sulfate.1,CA.GS,0.2186152948103994
BMI,numVol,0.21880850998455761
VA.GS,CA.S,0.22124127842673164
Total.CA,CA.GS,0.2228348388505902
TFA.S,CA.GS,0.22613339367274168
Total.TFA,CA.GS,0.22908443005825416
TFA.G,CA.GS,0.22935209447670457
Total.DHPAA,CA.GS,0.23302648515652313
VA,CA.GS,0.235118963854539
VA.GG,CA,0.2395547308242596
DHPAA.SS,DHPAA.GS,0.24154621659581488
Total.TFA,DHPAA.G,0.2422933843766117
TFA.S,DHPAA.G,0.24251558901413497
Weight,numVol,0.2477331686272384
DHPAA,CA,0.25059704013337375
VA.GG,TFA.S,0.2518178934693014
Total.TFA,Total.DHPAA,0.2552471404122655
TFA.S,Total.DHPAA,0.25533577837694366
VA.GG,Total.TFA,0.2553949679818515
DHPAA.GS,CA.GS,0.25586310474660456
DHPAA.GS,CA.S,0.2595123464407917
DHPAA,Total.CA,0.26515533555553145
DHPAA,CA.GS,0.2661170157745233
Bpmin,BMI,0.26771058985868773
Total.VA,CA.GS,0.26909420471051426
Frec,Bpmax,0.2706624888978448
Bpmax,BMI,0.2718626563626621
VA.SS,DHPAA.GS,0.2782438277894265
VA.GG,TFA.G,0.2812324268972714
VA.GG,DHPAA.SS,0.29331458217228606
Frec,Bpmin,0.3031307770019341
DHPAA.G,DHPAA,0.3135143684252587
VA,Total.TFA,0.314276676245493
VA,TFA.S,0.31476289410957026
Total.VA,TFA.S,0.32477568439822563
Total.VA,Total.TFA,0.32481050638759174
VA.SS,VA.GG,0.32676259773608063
VA.GG,DHPAA.GS,0.33479763275468466
VA.GS,CA.GS,0.33673104506467694
CA.G,CA,0.3471167056851007
Total.CA,CA,0.36168808020561205
Bpmin,CVRI,0.36198846707891263
VA.GS,DHPAA.SS,0.37571289306071154
Total.DHPAA,DHPAA,0.3775589516641263
VA.GS,TFA.G,0.40570043111866944
Fat,BMI,0.4061250915890837
Bpmax,CVRI,0.40885220389520704
Bpmin,Weight,0.41041780827443
Bpmax,Weight,0.41370506135289664
VA.SS,VA.GS,0.4160763662407455
VA.GS,VA.GG,0.48214324389418517
TFA.S,CA,0.5215537273880624
Total.TFA,CA,0.521726978080483
Total.CA,CA.S,0.5227640433062392
CVRI,BMI,0.5780276086454028
VA.GS,DHPAA.GS,0.6001309166322054
BMI,Weight,0.6262894406298563
CVRI,Weight,0.6379209758251562
VA,Total.DHPAA,0.6519636085515736
VA,DHPAA.G,0.6637186130136313
Total.VA,Total.DHPAA,0.6663268959167937
Total.VA,DHPAA.G,0.6727308967879309
VA.SS,DHPAA.SS,0.7582947992014967
Bpmax,Bpmin,0.8112723346929605
Total.CA,CA.G,0.8363828841015102
Total.DHPAA,DHPAA.G,0.9898845459262487
Total.VA,VA,0.9943621159044583
Total.TFA,TFA.S,0.999916895283993
