,,0
VA,Total.TFA,0.314276676245493
VA,TFA.S,0.31476289410957026
Total.VA,TFA.S,0.32477568439822563
Total.VA,Total.TFA,0.32481050638759174
VA.SS,VA.GG,0.32676259773608063
VA.GG,DHPAA.GS,0.33479763275468466
VA.GS,CA.GS,0.33673104506467694
CA.G,CA,0.3471167056851007
Total.CA,CA,0.36168808020561205
VA.GS,DHPAA.SS,0.37571289306071154
Total.DHPAA,DHPAA,0.3775589516641263
VA.GS,TFA.G,0.40570043111866944
VA.SS,VA.GS,0.4160763662407455
VA.GS,VA.GG,0.48214324389418517
TFA.S,CA,0.5215537273880624
Total.TFA,CA,0.521726978080483
Total.CA,CA.S,0.5227640433062392
VA.GS,DHPAA.GS,0.6001309166322054
VA,Total.DHPAA,0.6519636085515736
VA,DHPAA.G,0.6637186130136313
Total.VA,Total.DHPAA,0.6663268959167937
Total.VA,DHPAA.G,0.6727308967879309
VA.SS,DHPAA.SS,0.7582947992014967
Total.CA,CA.G,0.8363828841015102
Total.DHPAA,DHPAA.G,0.9898845459262487
Total.VA,VA,0.9943621159044583
Total.TFA,TFA.S,0.999916895283993
